year,month,headquarter,hour_count,load_MWh,electricity_cost_won,emission_tCO2eq,emission_kgCO2eq
2023,12,경남본부,744,2267453,223489658000.0,946208.1369,946208136.9
2023,12,경북본부,744,1275501,125441540900.0,532266.5673,532266567.3
2023,12,광주전남본부,744,3467395,342500412400.0,1446943.9335,1446943933.5
2023,12,남서울본부,744,2234329,228931773900.0,932385.4917,932385491.7
2023,12,대구본부,744,3123654,312015159000.0,1303500.8142,1303500814.2
2023,12,대전세종충남본부,744,5439268,537391092700.0,2269806.5364,2269806536.4
2023,12,부산울산본부,744,4905026,486893992800.0,2046867.3498,2046867349.8
2023,12,서울본부,744,1748042,179110028500.0,729457.9266,729457926.6
2023,12,인천본부,744,3046166,308175343900.0,1271165.0718,1271165071.8
2023,12,전북본부,744,1704140,168353291500.0,711137.622,711137622.0
2023,12,제주본부,744,485880,48501581200.0,202757.72400000002,202757724.0
2023,12,충북본부,744,2395336,235229005700.0,999573.7128,999573712.8
2024,1,강원본부,744,1526495,148839952800.0,637006.3635,637006363.5
2024,1,경기본부,744,8400729,840576224900.0,3505624.2117,3505624211.7
2024,1,경기북부본부,744,2380691,238861508500.0,993462.3543,993462354.3
2024,1,경남본부,744,2396713,236407557700.0,1000148.3349,1000148334.9
2024,1,경북본부,744,1339133,131832227400.0,558820.2009,558820200.9
2024,1,광주전남본부,744,4010587,395689730900.0,1673617.9551,1673617955.1
2024,1,남서울본부,744,2315103,237656818900.0,966092.4819,966092481.9
2024,1,대구본부,744,3311756,331463505000.0,1381995.7788,1381995778.8
2024,1,대전세종충남본부,744,5608949,554071822900.0,2340614.4177,2340614417.7
2024,1,부산울산본부,744,5130631,510204632200.0,2141012.3163,2141012316.3
2024,1,서울본부,744,1813981,186156543300.0,756974.2713,756974271.3
2024,1,인천본부,744,3254996,329441710600.0,1358309.8308,1358309830.8
2024,1,전북본부,744,1784953,176390104300.0,744860.8869,744860886.9
2024,1,제주본부,744,522450,51863775200.0,218018.385,218018385.0
2024,1,충북본부,744,2491401,244876290400.0,1039661.6373000001,1039661637.3
2024,2,강원본부,696,1401963,136445110000.0,585039.1599,585039159.9
